business_id,Yelping_age,review_count,coolness,fans,average_stars,useful
noCfW7m3z-S1p8KwFIvj2Q,5.778761062,49.15929204,48.91150442,3.026548673,3.706283186,85.87610619
x8_NelKV1JY5S5bN7mWJuQ,8.686635945,217.3824885,416.2857143,21.82949309,3.789585253,649.7235023
kJhQq1BFz7lOYLve7xPaJQ,6.011111111,36.15,42.91111111,2.577777778,3.691722222,67.53333333
TmByhkKxWQa2Bfvyk3Aqxg,5.721311475,66.40983607,179.2131148,4.459016393,3.434590164,241
7m1Oa1VYV98UUuo_6i0EZg,7.298387097,71.98951613,127.4370968,5.588709677,3.966225806,196.2435484
tI7dXg2UboJozj28v7sjLw,7.915662651,141.7831325,340.8795181,8.024096386,3.603373494,501.1927711
APXWKd1N-COyUdncd_FdyQ,7.372180451,45.20676692,38.30827068,2.244360902,3.90075188,80.16917293
9o-DUVGYaoKkqnCP5BT_NA,7.234042553,72.14893617,108.4361702,5.063829787,3.871861702,179.4202128
Dj4AepxMBS-5DUvPegSb2g,6.461538462,94.84615385,84.61538462,6.307692308,4.123076923,139
E4JyAzB5_2quptwtemyhYA,6.998613999,65.72765073,154.971587,5.585585586,3.986223146,214.6652807
Ktia9NJfvxVxTLVcEnw9zQ,8.169660679,111.9680639,210.1237525,8.109780439,3.802774451,317.0259481
zidkKI_N1OPxsiddTOQH_Q,7.051886792,85.52122642,221.3042453,9.773584906,3.9325,308.8207547
myw0csRck6XG4w5Z-EFyqg,6.81122449,52.80612245,75.04081633,3.341836735,3.780102041,131.9030612
lsTDUrYbsLHrEEkwOEZanA,5.931034483,52.54022989,40.17241379,2.563218391,3.383563218,79.55172414
u12UCVo-zyFTX2Nxf_n63A,8.166666667,173.8012821,286.4487179,12.63461538,3.772628205,462.5897436
9umA26_aWjEuVe4QW7axtw,6.695238095,73.85714286,177.752381,7.19047619,4.12752381,263.0857143
qms2KpC7A0KM3DxGqXWzaQ,5.950617284,103.9259259,451.2592593,8.37037037,3.825308642,556.5679012
4j0WfdS_lHG9uSH7cd1PFg,6.043307087,44.90551181,47.04330709,2.468503937,3.748700787,84.18897638
cHdJXLlKNWixBXpDwEGb_A,7.999388753,111.8508557,191.1454768,8.765281174,3.868306846,300.7011002
lfyg98UFNYMVk18p6LIlkw,7.994269341,108.5157593,292.3094556,8.925501433,3.842722063,395.7851003
LR_99E7tVUfxqemvcGkDzw,7.767080745,69.61490683,142.1242236,4.968944099,3.721677019,217.6149068
u9R0_pvEkl7QGPJYH3j1sg,7.789215686,105.3112745,144.5808824,8.007352941,3.762696078,258.6715686
TubbskG3TSU9TpgFFH2How,7.228187919,114.0234899,273.0033557,10.82885906,3.923724832,396.2818792
YOD9dXrnpu8HTRILpF0onw,6.938461538,82.12692308,155.4038462,5,3.745115385,226.4461538
EU83r5yrRw3zRictM5eO6Q,6.777777778,165.3888889,104.2777778,5.444444444,4.035,216
lap6PTY8pyckPSMgvCuIbA,6.618644068,45.33898305,50.10169492,2.762711864,3.760677966,86.71186441
jKndHanZV4fygbNHWK5Xnw,7.619047619,74.07936508,36.88888889,3.015873016,3.76047619,101.6031746
jzM4dTlstNmGDPRT9SC6Hw,6.278787879,55.06666667,90.87878788,5.765656566,3.875858586,137.5575758
zbrFk-4ejesAJD8EwcdHxg,7.459317585,78.89238845,80.41207349,4.716535433,3.69816273,150.7112861
ukCTLs6T8LY1eUBXiAlmCg,6.935194417,82.25623131,175.995015,8.215353938,3.967527418,251.1884347
wB2mrl_xHyj55UObucaVRA,7.734615385,102.5115385,240.6269231,11.39230769,3.965461538,353.1653846
WB7346WSdkTHvtHfWPilaA,6.712166172,107.8130564,295.2284866,10.87537092,4.141721068,420.8367953
9RSgLa87uZTZKdTvxy2qyg,6.735294118,134.3676471,782.5294118,29.69117647,3.368823529,947.8970588
W7Dt3b6H_pMIHfxn49Pkzg,7.45323741,90.21942446,115.7338129,5.413669065,3.435935252,209.0863309
ElWzx5_fU8S2G45OnM-HpA,7.151764706,98.90588235,323.6423529,17.60823529,3.943470588,449.1176471
7MeMGh0SUlF-GuTyruwtcw,7.859060403,90.08053691,110.8013423,6.012080537,3.776469799,200.4563758
8F9C5vhDlYphBWELUgLkvQ,8,86.03409091,106.3068182,5.011363636,3.556590909,192.8181818
7cK9uEV09iPmsTqOqmY3kQ,8.571092832,142.2232667,301.453584,15.85781434,3.850599295,469.520564
VyVIneSU7XAWgMBllI6LnQ,7.383546206,86.9973704,196.5818933,7.471450038,3.917099925,281.8140496
HTaA1mo9cB1dXMwfJC6yKg,6.481327801,66.06224066,124.253112,4.751037344,3.312406639,184.5850622
aMF8cG445ONPRKBsBYqofg,7.259259259,104.7178131,173.9506173,8.603174603,3.822610229,269.7830688
I3STZd5iAvUL9MNLF_DUug,8.140271493,171.8665158,266.8076923,12.58597285,3.743348416,420.9027149
aHl6kL013OHT2OiH6koVwg,6.40166205,45.3767313,78.32686981,3.487534626,4.017645429,122.1939058
MOi64A9mDpK9zUB8546L8Q,6.706896552,126.3448276,447.1724138,15.84482759,3.518793103,598.3965517
4K5NUsinIgtq-yuxdp2HdA,7.214099217,96.84334204,129.2715405,6.368146214,3.72002611,222.4386423
OQggqcQglU-lHY3rY-8Lhw,7.420545746,119.4205457,197.3659711,9.388443018,3.924783307,297.1605136
VBJwRxOAtvjy7taLXEjmfg,6.158536585,52.98780488,89.45121951,3.731707317,3.281219512,134.2682927
uIE9H0cz2AvxorEqy5cZ0w,7.525423729,143.3220339,157.6101695,9.548022599,3.647966102,304.0734463
5xCeuEI7Einoi5xYsNuDCQ,6.729559748,75.62893082,127.2515723,5.86163522,3.270503145,195.3459119
cs1qJvnWUg_f8g020z_3PQ,8.246710526,154.5888158,444.9424342,17.88486842,3.758634868,614.2039474
flE7Sn2JGs0n3SAtaep6Zw,8.928191489,147.6781915,436.8736702,26.10106383,3.828071809,621.1489362
yCK1Ok69D7TSWJESZQZHiQ,6.498583569,48.38243626,57.33711048,3.611898017,4.011161473,98.56373938
EveFgxNoHkrs8ncSjkoINA,6.072815534,71.11812298,226.8090615,7.742718447,3.890533981,292.8300971
u-SJ5QUwrNquL9VnXwl8cg,8.955315871,126.1394453,270.3043143,15.45300462,3.923736518,407.0046225
cTJjTKz2huGZ-ElScC2pSw,8.276724138,111.7146552,183.037069,9.731896552,3.918715517,294.0155172
FogTa-wmjhVnJCoTiaxvZA,8.598526703,130.2836096,291.1767956,15.77808471,3.865524862,429.2651934
frCxZS7lPhEnQRJ3UY6m7A,7.679207921,94.85594059,195.9158416,8.423267327,3.879054455,295.1014851
8Syk4yZRivDlVUdXxIPutQ,7.781818182,81.92121212,155.6060606,6.43030303,3.826787879,253.9090909
gBsrs7a3w6g1YXJL2uwixw,7.067226891,62.25210084,96.94957983,4.764705882,3.807226891,152.1932773
Rud4J5Hsjn_jjU9IaQ0Dpw,7.348017621,70.26431718,55.40969163,3.334801762,3.655374449,113.0440529
ToFm2DhhTdr0Kv0A7Sdj6g,7.835784314,93.75490196,117.9926471,6.595588235,3.993848039,207.8995098
aIvvMGWW-Yy3zPZlnXL6Uw,6.857142857,82.34693878,170.8979592,8.020408163,3.299591837,280.0204082
2Gh1Etnpn_BDy72hOXmCtg,7.32748538,92.49707602,298.6510721,10.72904483,3.913957115,393.1539961
sAc5cKro8LKjIhzeLfl6Wg,6.964157706,54.59856631,52.08602151,2.799283154,3.823261649,99.4516129
gxEkxkqQrrK62DJnXxXDLg,8.803149606,132.511811,304.988189,14.53937008,3.677716535,473.1692913
8Zqh2jwtncA3N4fWEMTvZQ,8.204104903,107.5051311,266.0809578,11.24743444,3.846374002,377.2599772
7eQoxWr9RzyCB9IFvqHUPA,7.590263692,76.41176471,157.8762677,7.022312373,3.873975659,236.872211
rYI_Dvw8ixOE-Hud-PWzbQ,6.852348993,103.8456376,257.6308725,14.18791946,3.914228188,362.4496644
L_9g6y_EJqJ7A7nJMV9rmA,7.201612903,125.3306452,189.1370968,9.451612903,4.049274194,305.8870968
OgJ0KxwJcJ9R5bUK0ixCbg,7.929517502,103.6352886,236.5988647,12.04115421,3.944526963,344.6017029
